name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Falcon Heavy | Psyche,2023-10-13,SpaceX,Commercial,Helio-N/A,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,224,166,286,11,11,73,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520heav_image_20231014091714.jpeg,MX Landing,Planetary Science
Falcon 9 Block 5 | Starlink Group 7-4,2023-10-09,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,731,121,285,22,21,72,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230710162304.png,OCISLY,Communications
"Vega | THEOS-2, TRITON & others",2023-10-09,Arianespace,Commercial,SSO,"Kourou, French Guiana",Ariane Launch Area 1,5.236,-52.775,320,49,315,3,1,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/vega2520257c_image_20231009052620.jpeg,,Dedicated Rideshare
Miura 1 | SN1 Test Flight,2023-10-07,Payload Aerospace S.L.,Commercial,Sub,El Arenosillo Test Centre,Médano del Loro,37.09687,-6.73863,1,1,1,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/miura25201252_image_20231008042338.jpeg,,Test Flight
Atlas V 501 | Project Kuiper Protoflight Mission (Atlas V #1),2023-10-06,United Launch Alliance,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 41,28.58341025,-80.58303644,912,110,159,44,2,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/atlas2520v252_image_20231008042449.jpeg,,Communications
SpaceShipTwo | Galactic 04,2023-10-06,Virgin Galactic,Private,Sub,Air launch to Suborbital flight,Spaceport America,32.9902778,-106.9719162,83,11,64,6,6,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/spaceshiptwo_image_20210522140909.jpeg,,Tourism
Falcon 9 Block 5 | Starlink Group 6-21,2023-10-05,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,911,203,284,43,40,71,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727063457.png,JRTI,Communications
Long March 2D | Yaogan 39 Group 03,2023-10-05,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,193,83,438,10,5,32,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231005054230.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 6-19,2023-09-29,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,910,202,283,42,39,70,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727063129.png,ASOG,Communications
Qased | Noor-3,2023-09-27,Islamic Revolutionary Guard Corps Aerospace Force,Government,LEO,"Shahrud Missile Test Site, Islamic Republic of Iran",Launch Platform,36.200595,55.333939,3,3,3,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/qased_image_20220308095543.jpg,,Government/Top Secret
Long March 4C | Yaogan 33-04,2023-09-26,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,207,107,437,25,11,31,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230928084355.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 7-3,2023-09-25,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,730,120,282,21,20,69,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230710073235.png,OCISLY,Communications
Falcon 9 Block 5 | Starlink Group 6-18,2023-09-24,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,909,201,281,41,38,68,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522091403.png,JRTI,Communications
Falcon 9 Block 5 | Starlink Group 6-17,2023-09-20,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,908,200,280,40,37,67,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522091056.png,ASOG,Communications
Long March 2D | Yaogan 39 Group 02,2023-09-17,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,192,82,436,9,4,30,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230917072451.jpg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 6-16,2023-09-16,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,907,199,279,39,36,66,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522090549.png,JRTI,Communications
Soyuz 2.1a | Soyuz MS-24,2023-09-15,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1543,410,316,7,5,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/soyuz25202.1a_image_20230913073118.jpg,,Human Exploration
Firefly Alpha | FLTA003 (VICTUS NOX),2023-09-15,Firefly Aerospace,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 2W,34.7556,-120.6224,729,95,3,20,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/firefly2520alp_image_20230915073405.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 7-2,2023-09-12,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,728,119,278,19,19,65,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230710071854.png,OCISLY,Communications
Atlas V 551 | NROL-107 (Silent Barker),2023-09-10,United Launch Alliance,Commercial,Direct-GEO,"Cape Canaveral, FL, USA",Space Launch Complex 41,28.58341025,-80.58303644,906,109,158,38,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/atlas2520v252_image_20230911072924.jpeg,,Government/Top Secret
Long March 6A | Yaogan 40,2023-09-10,China Aerospace Science and Technology Corporation,Government,PO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9A,38.8583,111.5802,123,3,435,8,1,29,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230910165557.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 6-14,2023-09-08,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,905,198,277,37,35,64,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522085927.png,ASOG,Communications
SpaceShipTwo | Galactic 03,2023-09-08,Virgin Galactic,Private,Sub,Air launch to Suborbital flight,Spaceport America,32.9902778,-106.9719162,82,10,63,5,5,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/spaceshiptwo_image_20210522140909.jpeg,,Tourism
H-IIA 202 | XRISM & SLIM,2023-09-06,Japan Aerospace Exploration Agency,Government,LO,"Tanegashima Space Center, Japan",Yoshinobu Launch Complex LP-1,30.400813,130.977748,88,54,36,3,2,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/h-iia25202022_image_20230828072314.jpeg,,Astrophysics
Long March 4C | Yaogan 33-03,2023-09-06,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,205,106,434,23,10,28,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20230906191228.jpeg,,Government/Top Secret
